統計起始日,上映日期,中文片名,國別地區,累計銷售票數,累計銷售金額
2018-07-30,2018-07-27,喜歡你愛上你逃離你,法國,"3,146","695,671"
2018-07-30,2018-07-27,超能救援,美國,"2,677","603,644"
2018-07-30,2018-07-27,她們的故事,南韓,"1,089","242,573"
2018-07-30,2018-07-27,我的抓狂(女)友,法國,835,"183,173"
2018-07-30,2018-07-27,血琥珀,中華民國,594,"119,185"
2018-07-30,2018-07-27,冥房,加拿大,524,"116,400"
2018-07-30,2018-07-25,不可能的任務：全面瓦解,美國,"1,275,257","304,514,760"
2018-07-30,2018-07-20,把哥哥退貨可以嗎,泰國,"37,697","8,566,830"
2018-07-30,2018-07-20,願望咖啡館,義大利,"7,482","1,601,247"
2018-07-30,2018-07-20,?道上的阿波羅,日本,"2,536","560,952"
2018-07-30,2018-07-20,神佈局,俄羅斯,"16,686","3,727,424"
2018-07-30,2018-07-20,一袋彈珠,法國,"2,908","608,550"
2018-07-30,2018-07-20,鬼入夢,西班牙,"8,140","1,832,053"
2018-07-30,2018-07-20,震撼真相,美國,"3,273","711,404"
2018-07-30,2018-07-20,孤狼之血,日本,"2,041","456,998"
2018-07-30,2018-07-20,鬼嫁娘,俄羅斯,"2,238","491,165"
2018-07-30,2018-07-20,霧中的女孩,義大利,"2,409","545,932"
2018-07-30,2018-07-20,鬼太鼓座,日本,784,"166,729"
2018-07-30,2018-07-20,母親的告白,印度,718,"155,780"
2018-07-30,2018-07-20,揭密風暴,南韓,480,"113,200"
2018-07-30,2018-07-20,阿寶動物一族,法國,233,"46,465"
2018-07-30,2018-07-19,尖叫旅社3:怪獸假期,美國,"247,467","55,282,238"
2018-07-30,2018-07-13,小偷家族,日本,"51,759","11,551,632"
2018-07-30,2018-07-13,?本龍一：終章,日本,"8,893","1,949,639"
2018-07-30,2018-07-13,高年級姐妹會,美國,"15,399","3,597,597"
2018-07-30,2018-07-13,命帶追逐（2018數位修復版）,中華民國,"2,575","571,031"
2018-07-30,2018-07-13,友罪,日本,"5,715","1,296,799"
2018-07-30,2018-07-13,簡單的婚禮,新加坡,"1,021","224,910"
2018-07-30,2018-07-12,摩天大樓,美國,"762,026","178,415,131"
2018-07-30,2018-07-12,切小金家的旅館,中華民國,"84,700","19,205,306"
2018-07-30,2018-07-06,名偵探柯南:零的執行人,日本,"361,832","83,633,321"
2018-07-30,2018-07-04,蟻人與黃蜂女,美國,"1,249,734","293,672,699"
2018-07-30,2018-07-02,電影哆啦A夢:大雄的金銀島,日本,"43,928","10,069,109"
2018-07-30,2018-06-29,燃燒烈愛,南韓,"8,256","1,797,198"
2018-07-30,2018-06-29,街角的書店,英國,"6,405","1,371,225"
2018-07-30,2018-06-27,超人特攻隊2,美國,"1,103,931","252,079,337"
2018-07-30,2018-06-22,跟著IKEA衣櫥去旅行,美國,"22,315","5,068,720"
2018-07-30,2018-06-22,去年冬天，與你分別,日本,"4,210","917,237"
2018-07-30,2018-06-22,貼背戰,美國,"139,191","32,238,056"
2018-07-30,2018-06-15,看不見的台灣,中華民國,"9,852","2,159,387"
2018-07-30,2018-06-15,只有大海知道,中華民國,"36,808","8,189,802"
2018-07-30,2018-06-15,我的家人歐買尬,西班牙,851,"177,389"
2018-07-30,2018-06-15,大衛‧鮑伊is…,英國,433,"170,500"
2018-07-30,2018-06-14,瞞天過海:八面玲瓏,美國,"604,122","141,480,576"
2018-07-30,2018-06-06,侏羅紀世界:殞落國度,美國,"2,537,204","620,275,624"
2018-07-30,2018-06-01,211緊急呼救,美國,"15,618","3,178,960"
2018-07-30,2018-06-01,第十二夜(英國國家劇院現場),英國,403,"261,400"
2018-07-30,2018-06-01,犬之島,美國,"52,688","12,188,618"
2018-07-30,2018-06-01,猛龍怪客,美國,"54,237","12,089,169"
2018-07-30,2018-06-01,暴動之城,法國,"2,811","596,535"
2018-07-30,2018-05-25,高壓行動,美國,"46,191","9,941,554"
2018-07-30,2018-05-25,新參者完結篇：當祈禱落幕時,日本,"11,380","2,567,553"
2018-07-30,2018-05-25,波伽利：聲命之歌,義大利,"6,224","1,332,785"
2018-07-30,2018-05-25,天使，曾經來過,馬來西亞,"1,182","251,595"
2018-07-30,2018-05-23,星際大戰外傳:韓索羅,美國,"122,714","29,370,897"
2018-07-30,2018-05-21,姐就是美！,美國,"53,429","12,156,585"
2018-07-30,2018-05-15,死侍2,美國,"1,221,028","286,998,005"
2018-07-30,2018-05-11,真心話大冒險,美國,"219,164","49,897,452"
2018-07-30,2018-05-11,厭世媽咪日記,美國,"22,541","5,281,108"
2018-07-30,2018-05-11,今夜，在浪漫劇場與妳相遇,日本,"17,355","3,933,766"
2018-07-30,2018-05-11,市長夫人的秘密,中華民國,"21,135","4,643,490"
2018-07-30,2018-05-11,跨越8年的新娘,日本,"6,212","1,367,259"
2018-07-30,2018-05-04,視界戰,德國,"35,010","7,622,115"
2018-07-30,2018-05-04,親愛的初戀,美國,"58,698","13,269,985"
2018-07-30,2018-05-04,刺殺終點戰,美國,"17,729","3,806,087"
2018-07-30,2018-05-04,假掰英雄,法國,"1,563","322,170"
2018-07-30,2018-05-04,低壓槽,香港,"15,033","3,302,137"
2018-07-30,2018-04-25,復仇者聯盟：無限之戰,美國,"2,583,530","640,740,755"
2018-07-30,2018-04-20,野蠻公主玩婚記,南韓,"4,739","1,043,617"
2018-07-30,2018-04-20,人生無限露營車,義大利,"6,167","1,295,507"
2018-07-30,2018-04-13,真愛趁現在,美國,"15,409","3,274,806"
2018-07-30,2018-04-12,毀滅大作戰,美國,"590,197","136,777,882"
2018-07-30,2018-04-04,比得兔,美國,"125,452","27,532,428"
2018-07-30,2018-04-04,恩德培行動,美國,"27,538","5,853,517"
2018-07-30,2018-04-04,糯爾摩斯,美國,"24,458","5,261,825"
2018-07-30,2018-03-29,一級玩家,美國,"1,413,033","361,437,827"
2018-07-30,2018-03-16,人生起跑線,印度,"31,289","6,569,169"
2018-07-30,2018-02-28,紅雀,美國,"740,215","173,323,513"
2018-07-30,2018-02-15,萌牛費迪南,美國,"129,871","28,738,063"
2018-07-30,2017-12-22,與神同行,南韓,"2,200,495","512,997,952"
2018-08-06,2018-08-03,摯友維尼,美國,"71,780",16618195
2018-08-06,2018-08-03,怒火邊界2：毒刑者,美國,"20,958","4,616,357"
2018-08-06,2018-08-03,道別的早晨就用約定之花點綴吧,日本,"8,412","2,065,435"
2018-08-06,2018-08-03,鬼戲語,南韓,"7,649","1,619,405"
2018-08-06,2018-08-03,真假維梅爾,荷蘭,"3,161","653,430"
2018-08-06,2018-08-03,家族真命苦2,日本,632,"131,735"
2018-08-06,2018-08-03,鐘擺人生,日本,518,"108,030"
2018-08-06,2018-08-03,危險性交易,俄羅斯,122,"27,355"
2018-08-06,2018-08-03,魘影人,美國,80,"16,490"
2018-08-06,2018-08-01,媽媽咪呀！回來了,美國,"85,162",19536888
2018-08-06,2018-07-27,喜歡你愛上你逃離你,法國,"3,744","828,531"
2018-08-06,2018-07-27,她們的故事,南韓,"1,292","288,923"
2018-08-06,2018-07-27,我的抓狂(女)友,法國,911,"198,943"
2018-08-06,2018-07-27,超能救援,美國,"2,742","618,844"
2018-08-06,2018-07-27,血琥珀,中華民國,619,"124,270"
2018-08-06,2018-07-27,冥房,加拿大,533,"118,750"
2018-08-06,2018-07-25,不可能的任務：全面瓦解,美國,"1,551,829",368798201
2018-08-06,2018-07-20,願望咖啡館,義大利,"8,644","1,849,262"
2018-08-06,2018-07-20,把哥哥退貨可以嗎,泰國,"38,529","8,753,795"
2018-08-06,2018-07-20,一袋彈珠,法國,"3,198","670,360"
2018-08-06,2018-07-20,?道上的阿波羅,日本,"2,781","614,782"
2018-08-06,2018-07-20,震撼真相,美國,"3,496","760,354"
2018-08-06,2018-07-20,孤狼之血,日本,"2,131","476,368"
2018-08-06,2018-07-20,神佈局,俄羅斯,"16,751","3,742,429"
2018-08-06,2018-07-20,霧中的女孩,義大利,"2,419","548,042"
2018-08-06,2018-07-20,鬼嫁娘,俄羅斯,"2,247","493,195"
2018-08-06,2018-07-20,揭密風暴,南韓,487,"114,800"
2018-08-06,2018-07-20,母親的告白,印度,726,"157,280"
2018-08-06,2018-07-20,鬼入夢,西班牙,"8,146","1,833,453"
2018-08-06,2018-07-19,尖叫旅社3:怪獸假期,美國,"274,055","61,154,665"
2018-08-06,2018-07-13,小偷家族,日本,"56,242","12,565,122"
2018-08-06,2018-07-13,?本龍一：終章,日本,"9,564","2,099,314"
2018-08-06,2018-07-13,高年級姐妹會,美國,"15,650","3,652,202"
2018-08-06,2018-07-13,命帶追逐（2018數位修復版）,中華民國,"2,750","607,071"
2018-08-06,2018-07-13,友罪,日本,"5,749","1,304,969"
2018-08-06,2018-07-12,摩天大樓,美國,"789,363",184635999
2018-08-06,2018-07-12,切小金家的旅館,中華民國,"85,341","19,348,451"
2018-08-06,2018-07-06,名偵探柯南:零的執行人,日本,"369,114","85,347,117"
2018-08-06,2018-07-04,蟻人與黃蜂女,美國,"1,257,747",295542682
2018-08-06,2018-07-02,電影哆啦A夢:大雄的金銀島,日本,"44,260","10,145,544"
2018-08-06,2018-06-29,燃燒烈愛,南韓,"8,286","1,804,003"
2018-08-06,2018-06-27,超人特攻隊2,美國,"1,119,039",255547942
2018-08-06,2018-06-22,跟著IKEA衣櫥去旅行,美國,"22,349","5,075,805"
2018-08-06,2018-06-22,醫生敲愛錢,法國,"1,084","223,960"
2018-08-06,2018-06-15,只有大海知道,中華民國,"37,036","8,238,792"
2018-08-06,2018-06-15,冠軍大叔,南韓,"197,575","44,568,304"
2018-08-06,2018-06-15,看不見的台灣,中華民國,"10,021","2,196,567"
2018-08-06,2018-06-15,我的家人歐買尬,西班牙,884,"182,339"
2018-08-06,2018-06-06,侏羅紀世界:殞落國度,美國,"2,537,596","620,373,839"
2018-08-06,2018-06-01,211緊急呼救,美國,"16,247","3,234,645"
2018-08-06,2018-06-01,犬之島,美國,"53,295","12,228,188"
2018-08-06,2018-06-01,第十二夜(英國國家劇院現場),英國,450,"292,080"
2018-08-06,2018-06-01,耶爾瑪（英國國家劇院現場）,英國,261,"164,720"
2018-08-06,2018-06-01,真愛收信中,美國,"6,063","1,260,460"
2018-08-06,2018-06-01,猛龍怪客,美國,"54,363","12,105,049"
2018-08-06,2018-05-25,高壓行動,美國,"46,458","9,960,104"
2018-08-06,2018-05-25,波伽利：聲命之歌,義大利,"6,309","1,345,795"
2018-08-06,2018-05-25,新參者完結篇：當祈禱落幕時,日本,"11,464","2,580,413"
2018-08-06,2018-05-25,天使，曾經來過,馬來西亞,"1,261","255,940"
